STATE_ID,BLOCK_ID,hab_num,hab_outside,osm_num,greater,osm_near,osm_far,hab_near,hab_far
28,2079,100,0,36,hab,29,7,27,73
28,3606,46,1,50,osm,42,8,41,5
28,2166,60,1,57,hab,50,7,47,13
28,6950,132,1,116,hab,93,23,100,32
28,6948,35,0,37,osm,31,6,33,2
28,6949,86,0,69,hab,56,13,63,23
28,6951,53,0,55,osm,43,12,45,8
28,6952,145,0,129,hab,120,9,127,18
28,6953,107,0,105,hab,98,7,102,5
28,2347,41,1,50,osm,32,18,34,7
28,832,62,0,74,osm,59,15,57,5
28,2389,155,0,18,hab,12,6,15,140
28,2580,111,0,28,hab,26,2,29,82
28,3777,33,0,32,hab,30,2,32,1
28,3405,46,0,46,hab,45,1,45,1
28,4435,35,10,42,osm,30,12,27,8
28,1762,165,3,95,hab,93,2,135,30
28,5611,68,17,38,hab,35,3,35,33
28,3441,41,15,40,osm,27,13,25,16
28,4740,23,0,20,hab,18,2,20,3
28,2957,56,0,31,hab,26,5,30,26
28,2388,86,0,9,hab,9,0,8,78
28,183,39,1,37,hab,35,2,35,4
28,3589,72,0,45,hab,39,6,37,35
28,1609,92,0,22,hab,20,2,27,65
28,6347,32,1,47,osm,33,14,27,5
28,5931,82,0,21,hab,19,2,20,62
28,2506,41,0,42,osm,42,0,41,0
28,1666,56,1,25,hab,21,4,22,34
28,5138,80,0,27,hab,22,5,23,57
28,2437,52,0,47,hab,40,7,40,12
28,6946,52,0,52,hab,41,11,42,10
28,6965,46,0,46,hab,44,2,46,0
28,6966,96,0,86,hab,81,5,87,9
28,7750,46,0,36,hab,35,1,36,10
28,5328,63,0,56,hab,55,1,56,7
28,5217,51,0,10,hab,9,1,10,41
28,5420,58,0,0,hab,0,0,0,58
28,5806,77,0,87,osm,68,19,73,4
28,3876,38,0,52,osm,39,13,36,2
28,3877,36,0,43,osm,38,5,36,0
28,3924,63,0,62,hab,61,1,62,1
28,1770,85,0,18,hab,18,0,18,67
28,4895,38,0,48,osm,32,16,26,12
28,1486,10,0,33,osm,10,23,8,2
28,1585,94,0,58,hab,53,5,71,23
28,5593,76,0,42,hab,37,5,40,36
28,4298,33,0,37,osm,32,5,32,1
28,664,71,0,65,hab,53,12,62,9
28,5067,32,0,30,hab,29,1,30,2
28,1513,135,0,40,hab,39,1,53,82
28,3370,49,1,48,hab,44,4,46,3
28,16,72,0,4,hab,3,1,4,68
